"","eventid","country_txt","region_txt","success","suicide","attacktype1_txt","targtype1_txt","nkill","nkillter","nwound","gdp"
"10245",201704150021,"Turkey","Middle East & North Africa",1,0,"Armed Assault","Government (General)",1,0,1,"1.20604E+12"
"238",201710170017,"Afghanistan","South Asia",0,1,"Bombing/Explosion","Unknown",0,0,0,"20744935406"
"9019",201704010013,"Somalia","Sub-Saharan Africa",1,0,"Bombing/Explosion","Military",0,0,0,NA
"6776",201712080031,"Nepal","South Asia",0,0,"Bombing/Explosion","Unknown",0,0,0,"21463958187"
"3322",201705270037,"India","South Asia",1,0,"Facility/Infrastructure Attack","Private Citizens & Property",0,0,0,"2.63095E+12"
"7954",201702080024,"Pakistan","South Asia",0,0,"Assassination","Government (General)",0,0,0,"2.40857E+11"
"6843",201711300042,"Nigeria","Sub-Saharan Africa",1,0,"Armed Assault","Business",0,0,4,"4.60457E+11"
"10629",201709290041,"West Bank and Gaza Strip","Middle East & North Africa",0,0,"Bombing/Explosion","Unknown",0,0,0,"12136735452"
"1374",201703100007,"Afghanistan","South Asia",1,0,"Armed Assault","Government (General)",1,0,0,"20744935406"
"9457",201702020022,"South Africa","Sub-Saharan Africa",1,0,"Armed Assault","Business",1,0,0,"4.26813E+11"
"8673",201702070011,"Philippines","Southeast Asia",1,0,"Bombing/Explosion","Military",1,0,2,"3.03356E+11"
"8798",201706130017,"Saudi Arabia","Middle East & North Africa",1,0,"Bombing/Explosion","Military",1,0,0,"6.84158E+11"
"8935",201706110015,"Somalia","Sub-Saharan Africa",1,0,"Bombing/Explosion","Military",0,0,1,NA
"7843",201703150008,"Pakistan","South Asia",1,0,"Hostage Taking (Kidnapping)","Government (General)",0,0,0,"2.40857E+11"
"10521",201711130042,"United States","North America",1,0,"Facility/Infrastructure Attack","Religious Figures/Institutions",0,0,0,"1.7305E+13"
"6841",201706010033,"Nigeria","Sub-Saharan Africa",1,0,"Hostage Taking (Kidnapping)","Government (General)",1,0,-999,"4.60457E+11"
"7071",201708140006,"Nigeria","Sub-Saharan Africa",1,0,"Armed Assault","Private Citizens & Property",1,0,0,"4.60457E+11"
"5653",201709230031,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Private Citizens & Property",1,0,0,"2.08595E+11"
"3397",201701170014,"Iraq","Middle East & North Africa",1,0,"Hostage Taking (Kidnapping)","Private Citizens & Property",-999,0,-999,"2.08595E+11"
"8214",201712020008,"Philippines","Southeast Asia",1,0,"Armed Assault","Police",1,0,6,"3.03356E+11"
"5630",201701280057,"Iraq","Middle East & North Africa",1,0,"Hostage Taking (Kidnapping)","Private Citizens & Property",-999,0,-999,"2.08595E+11"
"7832",201707060012,"Pakistan","South Asia",1,0,"Armed Assault","Government (Diplomatic)",2,0,0,"2.40857E+11"
"3291",201709140020,"India","South Asia",1,0,"Facility/Infrastructure Attack","Business",0,0,0,"2.63095E+12"
"4322",201705160005,"Iraq","Middle East & North Africa",0,0,"Bombing/Explosion","Unknown",0,0,0,"2.08595E+11"
"2186",201703260040,"Egypt","Middle East & North Africa",0,0,"Unknown","Military",8,8,0,"2.7171E+11"
"10538",201704280023,"United States","North America",1,0,"Armed Assault","Private Citizens & Property",0,0,3,"1.7305E+13"
"6054",201701040032,"Lebanon","Middle East & North Africa",1,0,"Bombing/Explosion","Government (General)",0,0,0,"43200771504"
"2997",201708010022,"India","South Asia",1,0,"Bombing/Explosion","Transportation",0,0,15,"2.63095E+12"
"1978",201705290028,"Democratic Republic of the Congo","Sub-Saharan Africa",1,0,"Armed Assault","Private Citizens & Property",-999,0,-999,"33277598255"
"8102",201702180014,"Philippines","Southeast Asia",0,0,"Bombing/Explosion","Unknown",0,0,0,"3.03356E+11"
"6057",201711090029,"Lebanon","Middle East & North Africa",1,0,"Hostage Taking (Kidnapping)","Private Citizens & Property",-999,0,-999,"43200771504"
"9961",201704070035,"Thailand","Southeast Asia",1,0,"Bombing/Explosion","Utilities",0,0,0,"4.22941E+11"
"6824",201705210022,"Nigeria","Sub-Saharan Africa",1,0,"Hostage Taking (Kidnapping)","Private Citizens & Property",-999,0,-999,"4.60457E+11"
"7487",201703180003,"Pakistan","South Asia",1,0,"Armed Assault","Police",2,1,1,"2.40857E+11"
"5120",201702260049,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Police",1,0,0,"2.08595E+11"
"9083",201706080026,"Somalia","Sub-Saharan Africa",1,0,"Assassination","Government (General)",1,0,0,NA
"4511",201709260001,"Iraq","Middle East & North Africa",1,0,"Assassination","Private Citizens & Property",1,0,0,"2.08595E+11"
"336",201701130001,"Afghanistan","South Asia",1,0,"Facility/Infrastructure Attack","Private Citizens & Property",0,0,0,"20744935406"
"2757",201709120030,"India","South Asia",1,0,"Facility/Infrastructure Attack","Business",0,0,0,"2.63095E+12"
"3576",201702040011,"Iraq","Middle East & North Africa",0,0,"Bombing/Explosion","Unknown",0,0,0,"2.08595E+11"
"1426",201701020075,"Algeria","Middle East & North Africa",1,0,"Bombing/Explosion","Private Citizens & Property",1,0,7,"1.99171E+11"
"5333",201706180034,"Iraq","Middle East & North Africa",0,1,"Bombing/Explosion","Police",1,1,0,"2.08595E+11"
"8562",201706020018,"Philippines","Southeast Asia",1,0,"Armed Assault","Private Citizens & Property",1,0,0,"3.03356E+11"
"3599",201708060007,"Iraq","Middle East & North Africa",0,0,"Unknown","Private Citizens & Property",0,0,0,"2.08595E+11"
"5432",201706180009,"Iraq","Middle East & North Africa",0,0,"Bombing/Explosion","Unknown",0,0,0,"2.08595E+11"
"5277",201709220021,"Iraq","Middle East & North Africa",0,0,"Bombing/Explosion","Unknown",0,0,0,"2.08595E+11"
"8505",201709200005,"Philippines","Southeast Asia",1,0,"Armed Assault","Military",0,0,0,"3.03356E+11"
"6049",201701220014,"Lebanon","Middle East & North Africa",0,1,"Bombing/Explosion","Business",0,0,1,"43200771504"
"1139",201708120072,"Afghanistan","South Asia",0,0,"Unknown","Government (General)",0,0,0,"20744935406"
"8616",201704050051,"Philippines","Southeast Asia",1,0,"Bombing/Explosion","Government (General)",0,0,0,"3.03356E+11"
"10669",201708130021,"West Bank and Gaza Strip","Middle East & North Africa",1,0,"Armed Assault","Private Citizens & Property",0,0,1,"12136735452"
"2264",201706290017,"France","Western Europe",0,0,"Unarmed Assault","Private Citizens & Property",0,0,0,"2.85709E+12"
"7994",201710210024,"Pakistan","South Asia",0,0,"Bombing/Explosion","Unknown",0,0,0,"2.40857E+11"
"3276",201703050041,"India","South Asia",0,0,"Facility/Infrastructure Attack","Business",0,0,0,"2.63095E+12"
